ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation,MD5checksum
Aspen tension wood development gradient,8_110815_AB0B10ABXX_t11-3_ind_2,Secondary cell wall from treated tree t11 zone 3technical replicate 2,2011-08-15T10:00:00,8_110815_AB0B10ABXX_t11-3_ind_2_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,11a32815411b4f4767a4507ab593add8
Aspen tension wood development gradient,7_110707_BB0B0HABXX_t11-4_ind_4,Secondary cell wall from treated tree t11 zone 4technical replicate 1,2011-07-07T10:00:00,7_110707_BB0B0HABXX_t11-4_ind_4_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,e5cd3fc34724fb459c16cbc4d7b858ff
Aspen tension wood development gradient,7_110707_BB0B0HABXX_t11-4_ind_4,Secondary cell wall from treated tree t11 zone 4technical replicate 1,2011-07-07T10:00:00,7_110707_BB0B0HABXX_t11-4_ind_4_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,7815f0552472595460a2e6a8b96c1934
Aspen tension wood development gradient,8_110815_AB0B10ABXX_t11-4_ind_4,Secondary cell wall from treated tree t11 zone 4technical replicate 2,2011-08-15T10:00:00,8_110815_AB0B10ABXX_t11-4_ind_4_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,5c9251aee4465cd66ad25a1b90ccda51
Aspen tension wood development gradient,8_110815_AB0B10ABXX_t11-4_ind_4,Secondary cell wall from treated tree t11 zone 4technical replicate 2,2011-08-15T10:00:00,8_110815_AB0B10ABXX_t11-4_ind_4_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,39d232b7f026e905f4d98e87fa1b45a7
Aspen tension wood development gradient,7_110707_BB0B0HABXX_t11-5_ind_5,Secondary cell wall from treated tree t11 zone 5technical replicate 1,2011-07-07T10:00:00,7_110707_BB0B0HABXX_t11-5_ind_5_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,65ad12b9031731fa07edef4cc0b79b80
Aspen tension wood development gradient,7_110707_BB0B0HABXX_t11-5_ind_5,Secondary cell wall from treated tree t11 zone 5technical replicate 1,2011-07-07T10:00:00,7_110707_BB0B0HABXX_t11-5_ind_5_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,531b2a20d01c21eb9a628bdd68aca36f
Aspen tension wood development gradient,8_110815_AB0B10ABXX_t11-5_ind_5,Secondary cell wall from treated tree t11 zone 5technical replicate 2,2011-08-15T10:00:00,8_110815_AB0B10ABXX_t11-5_ind_5_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,d34abeddf1af41b213e25821a5f08b15
Aspen tension wood development gradient,8_110815_AB0B10ABXX_t11-5_ind_5,Secondary cell wall from treated tree t11 zone 5technical replicate 2,2011-08-15T10:00:00,8_110815_AB0B10ABXX_t11-5_ind_5_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,b38b45ff6066aeefa7afe46b28bd2209
Aspen tension wood development gradient,7_110707_BB0B0HABXX_t11-6_ind_6,Secondary cell wall from treated tree t11 zone 6technical replicate 1,2011-07-07T10:00:00,7_110707_BB0B0HABXX_t11-6_ind_6_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,43db0673852c2f55990d1ccd461f719b
Aspen tension wood development gradient,7_110707_BB0B0HABXX_t11-6_ind_6,Secondary cell wall from treated tree t11 zone 6technical replicate 1,2011-07-07T10:00:00,7_110707_BB0B0HABXX_t11-6_ind_6_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,1f08be16390f1ec4db0a957e20a147c1
Aspen tension wood development gradient,8_110815_AB0B10ABXX_t11-6_ind_6,Secondary cell wall from treated tree t11 zone 6technical replicate 2,2011-08-15T10:00:00,8_110815_AB0B10ABXX_t11-6_ind_6_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,f85e7b749bc9b34ebb71e2f902c3a891
Aspen tension wood development gradient,8_110815_AB0B10ABXX_t11-6_ind_6,Secondary cell wall from treated tree t11 zone 6technical replicate 2,2011-08-15T10:00:00,8_110815_AB0B10ABXX_t11-6_ind_6_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,984350a8ebe019a4e1f8fb7c32547190
Aspen tension wood development gradient,5_110707_BB0B0HABXX_t8-1_ind_4,Secondary cell wall from treated tree t8 zone 1,2011-07-07T10:00:00,5_110707_BB0B0HABXX_t8-1_ind_4_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,23b7e3a4a73414015d9e12eaf331a52b
Aspen tension wood development gradient,5_110707_BB0B0HABXX_t8-1_ind_4,Secondary cell wall from treated tree t8 zone 1,2011-07-07T10:00:00,5_110707_BB0B0HABXX_t8-1_ind_4_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,52c1507398873d413f055a776dae1921
Aspen tension wood development gradient,5_110707_BB0B0HABXX_t8-2_ind_5,Secondary cell wall from treated tree t8 zone 2,2011-07-07T10:00:00,5_110707_BB0B0HABXX_t8-2_ind_5_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,f7210803ab61683af6104e525fb439fc
Aspen tension wood development gradient,5_110707_BB0B0HABXX_t8-2_ind_5,Secondary cell wall from treated tree t8 zone 2,2011-07-07T10:00:00,5_110707_BB0B0HABXX_t8-2_ind_5_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,df4dea3e37704f9a48777748935f460c
Aspen tension wood development gradient,5_110707_BB0B0HABXX_t8-3_ind_6,Secondary cell wall from treated tree t8 zone 3,2011-07-07T10:00:00,5_110707_BB0B0HABXX_t8-3_ind_6_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,13daa49142a6af8afccad4021744d8e3
Aspen tension wood development gradient,5_110707_BB0B0HABXX_t8-3_ind_6,Secondary cell wall from treated tree t8 zone 3,2011-07-07T10:00:00,5_110707_BB0B0HABXX_t8-3_ind_6_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,4b5cb17ceb778b89db877d41c03f6167
Aspen tension wood development gradient,3_111130_BD07JJACXX_t8-4_index4,Secondary cell wall from treated tree t8 zone 4technical replicate 1,2011-11-30T10:00:00,3_111130_BD07JJACXX_t8-4_index4_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,19a09c529454942c41e07729688e5bb5
Aspen tension wood development gradient,3_111130_BD07JJACXX_t8-4_index4,Secondary cell wall from treated tree t8 zone 4technical replicate 1,2011-11-30T10:00:00,3_111130_BD07JJACXX_t8-4_index4_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,59e02e38f05cbc94603bd26dfa92b6e7
Aspen tension wood development gradient,6_110707_BB0B0HABXX_t8-4_ind_4,Secondary cell wall from treated tree t8 zone 4technical replicate 2,2011-07-07T10:00:00,6_110707_BB0B0HABXX_t8-4_ind_4_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,88ce74147fe1bb93c9808921b12e1d1c
Aspen tension wood development gradient,6_110707_BB0B0HABXX_t8-4_ind_4,Secondary cell wall from treated tree t8 zone 4technical replicate 2,2011-07-07T10:00:00,6_110707_BB0B0HABXX_t8-4_ind_4_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,7096c60f660c8bab79f00ce65d9241bd
Aspen tension wood development gradient,6_110707_BB0B0HABXX_t8-5_ind_5,Secondary cell wall from treated tree t8 zone 5,2011-07-07T10:00:00,6_110707_BB0B0HABXX_t8-5_ind_5_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,119ea46045fefe08b72333ea838018b4
Aspen tension wood development gradient,6_110707_BB0B0HABXX_t8-5_ind_5,Secondary cell wall from treated tree t8 zone 5,2011-07-07T10:00:00,6_110707_BB0B0HABXX_t8-5_ind_5_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,4cb7754e7fa6033e4b004d5fd55d2ab4
Aspen tension wood development gradient,6_110707_BB0B0HABXX_t8-6_ind_6,Secondary cell wall from treated tree t8 zone 6,2011-07-07T10:00:00,6_110707_BB0B0HABXX_t8-6_ind_6_1.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,fefa5086dd7d42391218902b2ef82e86
Aspen tension wood development gradient,6_110707_BB0B0HABXX_t8-6_ind_6,Secondary cell wall from treated tree t8 zone 6,2011-07-07T10:00:00,6_110707_BB0B0HABXX_t8-6_ind_6_2.fastq.gz,/mnt/picea/home/delhomme/Git/aspen-tension-wood-development-gradient/data/raw,632df463b4986cc9c4f281a693df3a99
